FeatureName,DepositName,SiteName,Region,NGR,East,North,SiteLocation,RelationToNearestSummit,LandscapeZone,ApproxHeight ASL (m),CountrysideCharacterArea2012,LocationType,RelationToLocalSites,SiteDescription,DiameterRoundSites,SiteType,FeatureType,FeatureOrientation,FeatureDimensions,FeatureLength(cm),FeatureWidth(cm),FeatureDepth(cm),FeatureLocation,LocationRelToCentre,FeatureDescription,AssociatedFeatures,TreatmentOfRemains,MaterialsInDeposit,ArrangementOfDeposit,HeadSideFace,MNIWithinDeposit,SexOfIndsWithin Deposit,AgeOfIndsWithinDeposit,OtherSkeletalInformation,AccessionTWAMHumanRemains,BoneAnalysisUsed,ArtefactsInDepositList,ArtefactDescriptions,VesselType,RefinedTypologies,VesselIllustrations,OtherFindIllustrations,DatingOfDeposit,DatingOfHumanRemains,EstimatedDateRange(Fowler2012),PrimaryReferences,DecadeOfExcavation,OtherNotes,Excavator,UsedforFowler2013?,UsedforRitualChanges Analysis?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allerwash cist,Allerwash,"Allerwash, Newbrough",Northumberland,NY871673,387100,567300,"Knoll on level area above River Tyne, between two streams and within 300m of waterfall",East,River valley,72m,Tyne Gap & Hadrian's Wall,Riverside,Isolated,Cist set in oval pit on natural knoll above river valley,No mound recorded,Solo cist,Cist,E-W,1.25m by .75m by .8m deep. Cist was set in a pit which was 3.6m by 2.3m by 1.1m deep,125,75,80,On natural knoll,N/a,Cist oriented East-West,None known,"Burial of partial skeleton. The excavators imply that the bones had decayed, but also state ""Only the lower half of the skeleton was deposited, and at a time when it was already in a skeletal condition."" (Newman and Miket 1973, 92). It seems that the bones were lain in an approximation of a flexed inhumation on its left side, facing north: ""the available bones were so arranged as to give the impression of a crouched or flexed burial; part of the pelvis and tibia were made to serve as head and arms, and the remaining bones arranged to give an impression of the legs"" (ibid). There is a strong suggestion here of exhumed or previously excarnated remains, and deposition is evidently a secondary mortuary rite. Alternatively, the body was buried here and other bones were removed - but it is notable that no small bones were found possibly suggesting the bones were brought here",Rushes were present in the cist. Traces of shale or coal were found in the soil next to the bones. Some earth and stones seem to have been put over the bones before the cist was sealed,"All of the surviving bones are from the lower part of the body: the pelvis and leg bones. The body was oriented W-E.  It seems that the bones were lain in an approximation of a flexed inhumation on its left side, facing N: ""the available bones were so arranged as to give the impression of a crouched or flexed burial; part of the pelvis and tibia were made to serve as head and arms, and the remaining bones arranged to give an impression of the legs"" (ibid). Dagger was covered by the soil and by a stone slab .2m by .15m by .10m, and judging by Fig 2, it lies to the side of the 'body' in 'front' of it about half way down its length",WLN,1,Male  ,Adult,"Only 10% of the skeleton present, all from lower body, and insufficient remains of the long bones to accurately ascertain height. Gamble based age estimation on fused epiphyses plus 'articular surfaces seem to reflect a certain amount of wear without indications of osteoarthritic changes', and based sex attribution on the left femoral head diameter: the right one is smaller but damaged",GNM (MOA 1972.4),Michelle Gamble 2011,Bronze dagger blade,"Flat riveted bronze dagger blade with 3 rivets, traces of wood under the rivets suggest a wooden handle ",N/a,"Masterton type (Baker et al. 2003, 119 using Gerloff types)",N,Dagger,N,"2199-2030 cal BC (95.4%) or 2153–2030 BC (79.9%) [OxA-26253], left talus (dated 2012)",2153-2030 BC,"Newman, T. G. & Miket, R. F. 1973. A Dagger-Grave at Allerwash, Newborough, Northumberland. Archaeologia Aeliana (5th Series) 1, 87-95.",1970s,,T Newman and R Miket,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altonside cist,Altonside ,"Altonside, Haydon Bridge",Northumberland,NY856649,385600,564900,"On river valley flat, located at a bend in the South Tyne, c. 250m from the bank of the river",South East,River valley,60m,Tyne Gap & Hadrian's Wall,Riverside,Isolated,Cist cut into river valley floor,No mound recorded,Solo cist,Cist,E-W,".95m, .4m wide, .5m deep",95,40,50,Cut into soil of river valley,N/a,"Cist oriented East-West. The long side slabs were thick, and the end slabs thinner. Capstone 1.8m by 1.5m by .15m",None known,Crouched burial?,"Floor of cist was paved with many small stone slabs, and a thin layer (.009m) of fine silt covered the floor",The Beaker stood upright in the NW corner of the cist,?,No bone recovered,N/a,N/a,N/a,N/a,N/a,Beaker,,Beaker,"SN, N/NR",Y,N/a,N,N/a,2300-2100 BC,"Jobey, G. 1978. A Beaker burial from Altonside, Haydon Bridge, Northumberland. Archaeologia Aeliana (5th Series) 6, 173-4.",1970s,,G Jobey,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alwinton cairn cremation deposit 1,Alwinton cairn cremation 1,Alwinton cairn (Gw203),Northumberland,NT9305,393000,605000,"Position unknown, but the grid square is filled with the S facing slope of a high hill overlooking the River Coquet which runs through the SW corner of the square",South,Upland edge,150-200m,Northumberland Sandstone Hills,Hillside with river view & hilside near to stream & hillside near to spring,Isolated,Round cairn 10m in diameter and .8m high,10m,Round cairn,Heap of cremated bone on land surface,N/a,.3m diameter,30,30,?,2.2m E of centre of cairn ,East,Placement of cremated bone on land surface,Two other cremation deposits within cairn,Cremation,None recorded,Bones were found in a heap. May have been in a basket or deposited in a bag or other organic container,N/a,1,Indet.,Adult,None given,N,Excavation report,None,N/a,N/a,N/a,N/a,N/a,N,N,?post 2000 BC?,Greenwell 1877 & Kinnes and Longworth 1985.,1877reported,,W Greenwell (Greenwell 1877 & Kinnes and Longworth 1985 sources),Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alwinton cairn cremation deposit 2,Alwinton cairn cremation deposit 2,Alwinton cairn (Gw203) ,Northumberland,NT9305,393000,605000,"Position unknown, but the grid square is filled with the S facing slope of a high hill overlooking the River Coquet which runs through the SW corner of the square",South,Upland edge,150-200m,Northumberland Sandstone Hills,Hillside with river view & hilside near to stream & hillside near to spring,Isolated,Round cairn 10m in diameter and .8m high,10m,Round cairn,Heap of cremated bone,N/a,.3m diameter,30,30,?,"Located .9m SSE of centre of cairn, and .2m above old land surface/bottom of cairn",South South East,Placement of cremated bone within cairn structure OR pit into cairn,Two other cremation deposits within cairn,Cremation,None recorded,May have been in a basket or deposited in a bag or other organic container,N/a,1,Indet.,Adult,None given,N,Excavation report,None,N/a,N/a,N/a,N/a,N/a,N,N,?post 2000 BC?,Greenwell 1877 & Kinnes and Longworth 1985.,1877reported,,W Greenwell (Greenwell 1877 & Kinnes and Longworth 1985 sources),Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alwinton cairn cremation deposit 3,Alwinton cairn cremation deposit 3,Alwinton cairn (Gw203),Northumberland,NT9305,393000,605000,"Position unknown, but the grid square is filled with the S facing slope of a high hill overlooking the River Coquet which runs through the SW corner of the square",South,Upland edge,150-200m,Northumberland Sandstone Hills,Hillside with river view & hilside near to stream & hillside near to spring,Isolated,Round cairn 10m in diameter and .8m high,10m,Round cairn,Spread of cremated bone on land surface,N/a,Not given,?,?,?,"Located .9m SSE of centre of cairn, on old land surface/bottom of cairn",South South East,Placement of cremated bone on land surface,Two other cremation deposits within cairn,Cremation,None recorded,Spread on land surface under cairn,N/a,1 (?),Indet.,Indet.,None given,N,Excavation report,None,N/a,N/a,N/a,N/a,N/a,N,N,?post 2000 BC?,Greenwell 1877 & Kinnes and Longworth 1985.,1877reported,,W Greenwell (Greenwell 1877 & Kinnes and Longworth 1985 sources),Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amble cist,Amble ,Amble,Northumberland,NU273052,427300,605200,Near to where the River Coquet estuary reaches the sea,N/a,Coastal,10m or less,South East Northumberland Coastal Plain,Coastal,"Reports of ""no less than forty"" graves being found in the area, and ""bones and urns are said to have been discovered at an earlier period"". Also see Greenwell's excavations in the area at Warkworth. Clearly part of a cluster of sites around the mouth of the Coquet",Cist cut into subsoil,No mound recorded,Solo cist,Cist,NW-SE,1.2m by .65 wide. by 45m deep,120,65,45,Not given,N/a,"Cist oriented North East-South West, cut into subsoil",None,Crouched burial,"Soil silting around base of cist (""dark unctuous mould"")","""...a perfect skeleton, lying on its left side, having the knees drawn up and the right arm thrown back, with the head to the south-west..."" The Beaker is only described as ""by the side of the skeleton""",SWLNW,1,Indet.,Indet. (implication is adult),Skeleton sounds complete,N,Excavation report,Beaker,"Vessel lost but stylistically said to be similar to another from Amble (Tait's number 83) which is long-necked with a collar at the rim and a pronounced carination at the waist - most similar to Needham's early series, whch he dates to c. 2250-2000 BC",Beaker,"TSN, N3?",Y,N/a,N,N,2300-2100 BC,"Hodgson, J. 1899. A History of Northumberland: Volume V. The Parish of Warkworth with the Chapelry of Chevington, The Parish of Shilbottle and The Chapelry or Extra-Parochial Place of Brainshaugh. Newcastle: T. & J. Pigg.",1850s,,? (Reported in J Hodgson 1899),Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancroft cist,Ancroft ,Ancroft (GwUn11),Northumberland,NU041456,404100,645600,"On low hill, c. 20m ASL, next to current day coast",West,Coastal low hills and links,15m,North Northumberland Coastal Plain,Coastal & near to stream,Isolated,Cist,No mound recorded,Solo cist,Cist,E-W,"1m by .7m wide, .6m deep",100,70,60,Not recorded,N/a,"Cist with 4 side slabs and cover slab, no record of any base slab",None,Crouched burial,None recorded,The body lay on its left side with the head to the W. The face would have been turned to the N or back towards the body to the NE. The Beaker was placed in front of the face.,WLN,1,Male,Adult (?),None given,N,Excavation report,Beaker,"Very wide and angular waist, dog-legged rather than S profile, regular band and chevron designs. Short-necked (sim to Skateraw, N2005:192, which is dated to 2290-2140 cal BC ",Beaker,"SN, N3",Y (in Kinnes and Longworth),N/a,N,N,2300-2100 BC,Kinnes & Longworth 1985.,1890s,,Unknown (reported in Kinnes and Longworth),Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angerton cist,Angerton,"Angerton, Hartburn",Northumberland,NZ100848,410000,584800,"On hill, c90m ASL, overlooking and close to River Wansbeck near to its confluence with the Hart Burn",South,Low hills,90m,Northumberland Sandstone Hills,Hillside with river view,Isolated?,Cist ,No mound recorded,Solo cist,Cist,Not recorded,Not given,?,?,?,Unknown,N/a,Cist,None ,Crouched burial,"Areas between the stones of the cist were plugged with ""a distinctive soft dark-blue clay"". .12m of sandy fill wihtin cist",Not recorded,?,1,Female (?),Adult,"Cowen's report of the 1842 account of the excavation indactes that ""Most of the more substantial bones (except the skull) of a single body remained, mostly in a damaged state.""",N,Excavation report,"Bronze dagger blade, 8 'shale' beads, 2 flint knives and a flint 'hammer' ","Bronze dagger with 3 copper rivets - report sounds as though a pommel may have been present too. Description of beads suggest 7 spacer plates and one v-perforated button, together suggesting a necklace with other beads made from organic material or poor recovery overlooking smaller beads from the rest of a jet necklace",N/a,Not possible,N/a,N,N,N,2200-1750 BC,"Cowen, J.D. 1966 Prehistoric Notes. Archaeologia Aeliana (4th Series) 44, 209-35.",1840s,,J Hodgson (Reported by Cowen 1966),Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batter Law round barrow cist,Batter Law ,"Batter Law round barrow, Hawthorn",County Durham,NZ40604599,440600,545990,On natural hillock in rolling hills,Summit,Low hills,143m,Durham Magnesium Limestone Plateau,Hilltop,Isolated?,"Round barrow, 13m in diameter, 1.4m high",13m,Round barrow,Cist,ENE-WNW,1.12m long,112,?,?,SE periphery of barrow,South East,"Cist, oriented East South East-West North West in large round barrow","Excavators also examined the centre of the mound without locating another mortuary deposit, but did not explore the remainder of the monument",Crouched burial,None mentioned,"Body lay with head to the W, on right side, with face to the S. Flint knife placed in front of the knees",WRS,1,Male,c. 35 y o,Advanced osteoarthiritis,N,Excavation report,Flint knife ,Finely flaked oval plano-convex knife,N/a,Plano-convex knife,n/a,Flint knife,N,N,?2200-1750?,"Trechmann, C. 1914. Prehistoric Burials in the County of Durham. Archaeologia Aeliana (2nd Series) 11, 119-76.",1910s,Field visits by inspectors in the later 20th century indicate that the mound is likely to be larger than Trechmann estimated (perhaps 18m in diameter),C Trechmann,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedlington cist 1,Bedlington cist 1,Bedlington cist 1,Northumberland,NZ2626081490,426260,581490,Ridge with wide view,East,Low hills at edge of river valley,50m,South East Northumberland Coastal Plain,Hillside with river view,One of a group of 5 cists (possibility exists that barrow was levelled as the top of the ridge was 'levelled off' in preparation for building estate. Cist 1 was 18m WNW from cist 2,"Cist, disturbed on recovery by child",No mound recorded,Cist in cemetery,Cist,Not recorded,Not recorded,?,?,?,Not recorded,N/a,"Cist, few details recorded",One of 5 cists,"Uncremated burial, ?crouched",None mentioned,Not recorded,?,1 (?),Female (?),Adult,None given,"Purvis lists at Hancock, but not in GNM collection in 2011",Excavation report,"""earthenware pot"" never recovered for examination",,Not possible,Not possible,N,N/a,N,N,?2300-1750?,"Purvis, J.B. 1946. A Group of Prehistoric Graves at Bedlington. Proceedings of the Society of Antiquaries of Newcastle Upon Tyne (4th Series) 10, 322-4.",1930s,,Reported in 1946 by Purvis from 1934 discovery,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
