FeatureName,Region,NGR,East,North,Lat,Long,LatLong,TreatmentOfRemains,MNIWithinDeposit,SexOfIndsWithin Deposit,AgeOfFindsWithinDeposit,ArtefactsInDepositList,SexSingleDeposits,AgeSingleDeposits,ArtefactsSingleDeposits,SexGroupDeposits,AgeGroupDeposits,ArtefactsGroupDeposits,SitesWithUnknownSex,TerminusPostQuemBC,TerminusAnteQuemBC,MedianBC,DecadeOfExcavation
Allerwash cist,Northumberland,NY871673,387100.0,567300.0,55.000103,-2.2031893,"55.000103,-2.2031893",Uncremated remains,1.0,Male,Adult,Bronze dagger,Male,Adult,Bronze dagger,,,,,2153.0,2030.0,2091.0,1970.0
Altonside cist,Northumberland,NY856649,385600.0,564900.0,54.978495,-2.2265159,"54.978495,-2.2265159",Crouched burial,N/a,N/a,N/a,Beaker,,,,,,,N/a,2300.0,2100.0,2200.0,1970.0
Alwinton cairn cremation deposit 1,Northumberland,NT9305,393000.0,605000.0,55.338991,-2.1119062,"55.338991,-2.1119062",Cremation,1.0,Indet.,Adult,,Indet.,Adult,,,,,Indet.,2000.0,,2000.0,1877.0
Alwinton cairn cremation deposit 2,Northumberland,NT9305,393000.0,605000.0,55.338991,-2.1119062,"55.338991,-2.1119062",Cremation,1.0,Indet.,Adult,,Indet.,Adult,,,,,Indet.,2000.0,,2000.0,1877.0
Alwinton cairn cremation deposit 3,Northumberland,NT9305,393000.0,605000.0,55.338991,-2.1119062,"55.338991,-2.1119062",Cremation,1.0,Indet.,Indet.,,Indet.,Indet.,,,,,Indet.,2000.0,,2000.0,1877.0
Amble cist,Northumberland,NU273052,427300.0,605200.0,55.340088,-1.5711391,"55.340088,-1.5711391",Crouched burial,1.0,Indet.,Indet.,Beaker,Indet.,Indet.,Beaker,,,,Indet.,2300.0,2100.0,2200.0,1850.0
Ancroft cist,Northumberland,NU041456,404100.0,645600.0,55.703832,-1.9363260,"55.703832,-1.9363260",Crouched burial,1.0,Male,Adult,Beaker,Male,Adult,Beaker,,,,,2300.0,2100.0,2200.0,1890.0
Angerton cist,Northumberland,NZ100848,410000.0,584800.0,55.157430,-1.8446026,"55.157430,-1.8446026",Crouched burial,1.0,Possible Female,Adult,"Bronze dagger,Flint knife,Flint hammer,Shale Beads",Possible Female,Adult,"Bronze dagger, Flint knife, Flint hammer, Shale Beads",,,,,2200.0,1750.0,1975.0,1840.0
Batter Law round barrow cist,County Durham,NZ40604599,440600.0,545990.0,54.807141,-1.3698780,"54.807141,-1.3698780",Crouched burial,1.0,Male,Adult,Flint knife,Male,Adult,Flint knife,,,,,2200.0,1750.0,1975.0,1910.0
Bedlington cist 1,Northumberland,NZ2626081490,426260.0,581490.0,55.127096,-1.5897326,"55.127096,-1.5897326",Crouched burial,1.0,Possible Female,Adult,Food Vessel,Possible Female,Adult,Food Vessel,,,,,2300.0,1750.0,2025.0,1930.0
